,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
DZQV_CD8_naive,-76.69221558566059,3.4360863503188885,-14.452092778012751,-39.20528828921604,-8.300351929104332,-2.7529264923071715,0.3738504449949478,4.656085041555069,6.188640134083227,-35.071507157235914,-36.88787070673699,-31.142284624171637,6.578409178643312,4.290691915911029,4.798172059685264,-11.921908886557047,-1.7010632433465385,-20.09475197198711,-3.841072406071022,-2.5408792015013204,-8.704784851825345,1.2332744765364299,-0.5014073555961001,-9.617926695904792,2.035079888265418,3.4161411845275764,-4.586061325620753,-1.6314761194087581,-2.8918213300780855,5.655892775185909,8.266564237610098,5.607461986758198,11.899320973788083,1.4689852245204549,5.004654034225366,-14.245557026793415,-2.4027097408430658,-18.44236847786448,-3.0451966602076617,5.406662442440561,-18.128954215386166,4.132076357799919,-2.43744089007808,4.842996457532141,2.0456465191556914,9.382759138592649,1.1100466647661427,-1.8438229725593853,5.693974151268004,-3.1858091315325563
DZQV_CD8_CM,-83.2693808981688,-0.7421100164171119,0.6501387986718951,-11.816025642656303,-6.3085285488557545,-1.0170046339129017,-3.8112380981205183,0.8425323314121824,18.644377039663038,-3.7985163999116613,-3.7492329051057447,-16.745492720103385,-3.4734628890605843,0.5517141492480274,15.349123169497341,-18.990188048045354,-0.34345848334741963,-21.580898859575065,0.7253800389919877,0.05666607766547811,18.771200141261865,8.25047125614184,-8.722625100721231,-16.218988279386284,11.292625120424843,-1.8014075974071222,0.367015011645828,1.2693303866329544,-22.6599126079627,-14.7966591716426,-14.44582971298816,-6.268853564398559,10.059104389340643,4.423596744700415,13.575530005208483,15.945463887551746,-10.454572731529868,3.6678168168925316,13.284269299292383,-5.116174847008052,1.4080243467994213,13.306812374864068,-3.031134365496708,10.595290467636074,4.580575337785886,-1.0359758847162297,-8.660345225414574,5.5532423841514,-2.302548457497667,-3.245429234430963
DZQV_CD8_EM,-73.29400895794092,-6.839467602794831,5.565807187616338,30.857952622936647,-1.376467054189214,-13.179587792654626,8.17638218170143,-2.08239078198165,18.76447455444261,8.289091187109655,1.34543512425978,-5.8310976104289995,-6.149874573936464,-3.466444310270524,11.108576238399582,-33.95264886104557,3.237186272519615,-11.151392444183752,9.465134959424056,-6.225622274681094,12.13215353079334,-7.007309372541668,4.323937137239108,-12.544961500612118,5.052328013090486,2.1064014355266334,10.21888283646891,18.233154828253276,-0.7203872984379074,4.846924974465938,-1.690722930913062,7.009629395674642,-4.8602866783155685,-13.611313106685245,-2.5897098151974167,1.5305720837908094,4.994024476866726,0.7012984563462525,1.4849920009588755,-6.328853110832745,10.92639612402122,-3.948257864299398,-9.040631745665635,-15.631235847136827,-5.792127244672576,-5.586301621299651,11.47695252633025,0.2811187240120125,-5.838711392607789,3.8502380063677606
DZQV_CD8_TE,-62.87456739513731,-10.920473871855057,-0.20045295195897578,53.72487515292491,2.2933798865361523,-13.451368075130107,2.712429601504885,1.1429850062849727,12.727864007353501,-1.8542399518791157,-10.088749424741,-4.273394203758862,-5.578132421276887,-10.564760377874094,11.840852372678501,-24.79499201970873,6.437566652179351,-4.034168754707745,11.66726871696749,-11.9092730939597,-0.1520951255597007,-12.416679227485561,17.397373110089628,-18.2989839892396,-8.74986595291036,2.1167082703624476,-8.34986515996873,-4.048790744332448,-4.315303995517121,-12.84948163152453,12.97207491710518,-10.082142359665548,-5.667841901540729,7.550729149303203,-8.52300824790741,8.704260973135574,-3.627176255008081,5.9554770112395445,-4.325116918106007,10.750710309712371,-5.276200827927165,-13.40937556595911,-7.728647602731421,-5.975218459867972,5.906751670603856,1.4401568749100373,9.168351155384213,9.25298771405921,-3.7887627919995865,2.870926499413092
DZQV_MAIT,-68.1427621351486,-12.3256038667157,-9.273670654952271,23.236119581182294,-1.3300493625051941,-13.238416291728424,-1.7341350666529438,-5.4461506693479205,30.14662250932406,7.569996116283952,28.516026148593696,-38.43859792451089,-10.119316194114312,33.79682588429642,-9.878575405035905,5.5328575299250575,-0.1941600046641919,-9.108867239257693,1.3255901037168714,-10.411023221871414,-3.4961039222465304,-3.7643827838712554,-2.81095716444872,-3.7732970765484644,-1.4004468250160897,8.542873744380515,-14.073779415699358,13.230627251825021,-0.9535139015768752,2.1405729758614958,-0.09277848480311643,7.484487570346243,-8.75255749216328,-2.424321357164324,0.5395698141882113,-3.6745228574340043,-3.231254333818563,0.6996304719837614,-7.9110749473731605,-12.46818351245145,8.703655834203895,9.185714048296914,-1.9757398412047418,2.4990067232160333,11.833547371430138,10.966178276359102,-0.13247665637006928,3.4589810342017278,3.2332204966054863,5.1982656388343536
DZQV_VD2+,-54.125089571265356,-9.504922233777133,-7.698792443773551,63.654092480037995,0.841591527632632,-21.75864278019297,11.238659010200832,-3.0719146843349354,20.465680890637998,-7.280724094546866,-8.132085700991656,-16.95526511595552,-15.450805019061269,-9.817903227971442,-8.744694089254516,13.905828542948964,-23.403810001701213,5.027422369460295,2.497580135322426,10.725046816605637,3.5947455593154323,-17.359777812418486,-8.39497707850009,-6.3052227197798265,-5.837420710789923,15.63516073847671,-2.6282909018339753,3.4526139746049846,5.622248737248819,-2.7608587093153365,1.2805370330838937,2.1220773888339317,-1.2989681650263327,-8.712240421453378,0.9552166431386607,5.170435354108286,20.84034819367733,3.457305571173426,-0.5518045104933111,-2.3341361291625513,-8.303978964205811,-15.57220995871074,2.083653840177919,2.50500088817096,-2.9685141285077714,11.39658177598179,6.72559381755911,-0.6977076278915639,15.635259943535313,-8.491906973606701
DZQV_VD2-,-53.947166929522275,-12.908019805907399,-8.073073225595218,70.53524801242145,3.8728673247235736,-10.496273626291217,-2.106897681006666,-1.2053622986983865,13.093751565705736,-10.459351968615849,-16.270634635864788,-3.006047467428144,-11.150359373025777,-18.19255889511082,1.4468768386565356,5.576545979667029,2.465535723832338,-13.63828703639824,2.547339647841289,10.176063688527803,15.143246814505469,-2.672952485766344,-16.461216393797844,4.628012221878487,-4.226733956269802,3.968662403757128,-13.833033281300281,7.459231000261009,-0.08181981118183593,5.514633528055057,14.773371170901164,3.315237239376067,-13.629220479012236,-4.391204676208109,-8.646266285688464,5.313821542890481,-1.50846454248786,13.641824259572008,-9.095485354337,5.9891536891148505,-8.073778156349043,1.5118639617622525,2.9545527809120866,-9.023076506237874,-17.55901535957222,0.21405816954073065,-8.559581111157257,5.266014894813268,-4.620631908906574,5.3571922924161814
DZQV_TFH,-81.06769776374,1.6704839027247758,-4.97673030235262,-34.37896807568547,-5.69410336561737,-7.7601765436951915,1.3162885476816604,-2.0787786352167075,21.71597823429678,-7.5476024802041275,-5.637915114364069,0.06240095146933148,-20.472811702115763,-10.20214250059763,12.815160156692347,6.744014480079949,8.450474348228017,-19.97351425387182,6.353136583017182,15.819946092295995,3.7643664893831046,-6.8413025242041305,-4.088931573958336,0.8730589758756746,-7.225005676364536,2.5109920599233795,6.224577100207253,-31.34302613712354,-20.28747053938419,-5.741156996137602,10.20126672496291,31.376029748553314,6.612706092987624,-3.675753753089446,-9.948381744859843,-18.7424352785978,-2.0662694950507112,-15.275693800441736,-4.381540909137489,-0.6419383540327321,3.6205027863327057,-5.951769090909364,4.284525171558697,-4.801789346574572,-2.56697673360178,-3.65504351234968,-0.553589072873205,7.417223194850636,-8.085200648862475,-2.5188919070745035
DZQV_Treg,-77.1356451003856,1.1846454369767507,4.8827493467064516,-31.709730526707272,-1.756435441844853,4.067158268621397,-3.785025932013507,-5.7018191692872255,15.974209998540779,-5.701887552167925,-0.9146918757471844,4.986700540889249,-17.66618777357489,-8.732674494797575,-2.935910607418778,4.49280828332046,3.821202474463091,-0.11392823755551323,1.9964673443791554,-9.521695497635967,8.074463708349889,-5.344567122325903,0.03111399007004545,-13.02198978905104,-1.9457735555733737,-2.2004915345621314,6.266092597397089,12.267685987523038,-3.2546136982445537,11.479383133058318,7.252689495591503,1.2955600235661928,16.685158089479327,-3.4446295282640897,5.140904566501452,3.2363511269406504,-8.885041988471057,2.2006428916981595,-2.454815426088031,-2.6103108464343716,5.896010828740899,-12.487781251671615,3.5831018242746286,3.4102744246758148,3.061594673641464,-0.6493262933465581,-2.159158147657962,-3.38596458649397,-1.5720627603010904,3.487082980059401
DZQV_Th1,-83.14753305687141,-2.4014378137713406,-0.23173719294947856,-27.084679055483,-4.2124504060326675,2.087071597861012,-5.492512113699912,1.0467326438594586,13.8599470170053,-11.24376641796757,-6.876704909529344,-3.80107013417378,-13.741626685890171,-4.572248910913303,2.434013462401701,0.5062778321844714,12.794313929514317,-13.669237092433345,0.6761274555023961,-0.42634627421651555,3.7238875960450395,-7.324574559905989,-1.840347240139382,-6.127654243051828,-13.069438408243398,1.59113484997375,8.24783785147211,10.483118944183179,9.671186500615311,0.14677394508800468,-9.622052715887287,-2.5452540718392584,2.150063513229444,0.4722520035972929,-3.780556607124388,5.395882122780072,0.6868550693271549,5.882909599338622,2.920319771403863,4.8447812208805905,2.2962596307574126,4.400031460239349,15.988226117411612,-5.663528079231502,8.612555512323809,-9.764952444355085,-3.9005647490298787,-2.7086908325576267,-2.516098239861626,2.1720802220119473
