,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
DZQV_CD8_naive,-0.9068100521434387,-0.9787356222302649,-0.3392611931794933,-0.6889921795079683,1.2112098736655872,-0.2779311587715977,-0.04891799271320704,0.09867257881253569,-0.06377080371621098,-3.549591182869627,-1.1242182335746655,-0.8776644409077273,-0.6700854595382264,0.7894633645081041,0.5340576713713923,0.5841413153857847,-1.2273062090539337,-0.07482040293174576,1.8974188802229528,-1.259897165785518,0.24671258579050553,0.02511529609529012,-2.284924494449344,-0.5179809477618771,-0.3958715359045162,1.3994278527577602,0.573207958365146,-0.5075929940252415,0.6796189217326812,-0.5097349711831332,-0.1943122302047118,1.174206125875869,0.026413171271157648,-1.3178817275992263,-1.7611291712851627,-2.577187359930559,0.07794938154550636,-0.1959406809499964,0.638623140757548,1.567395320946778,1.2026919449314744,0.36982298999001323,-1.7410283779897857,1.5951124163578378,-0.931863642731665,0.9293387176217675,1.0707922927641846,0.5785032151685469,-0.45078813825077396,0.2943569198604081
DZQV_CD8_CM,-1.022579495914427,-0.1264664731928356,-0.3931392773130545,-0.1802760635879345,0.4404030548406305,-0.08234755776158896,-0.1897557323269616,0.007634632643212485,-0.5370779721825603,-0.9023508069091047,-2.173476647814457,-1.0613865223502859,-0.3601670092764877,0.3018258413553859,-0.6077632373708444,-0.33483501944807087,0.7370030588746215,-0.9798690081864305,1.4132400159377847,-0.22685308238601049,-0.7727686552918284,-1.78806617231391,-0.9261594925383617,-0.5769997955851383,-0.5269816321053334,1.0461570610654118,-2.388011342253571,1.6905829219343502,0.2342691110598784,1.444493377615413,-0.513102206174739,-0.04439876056246428,-0.02649332177638918,0.3748240419434343,0.2713635260541342,-0.8648276530567397,0.4311757768640821,-0.37888609069689877,1.9621614901571869,1.1227727183915115,0.06068119987542183,1.880745412542857,-1.7971227655192716,-1.0212107545252487,0.0994998106505761,0.09803516870447176,-1.3199296589862766,1.7556083342955282,0.8747045228309532,0.853958161490159
DZQV_CD8_EM,-0.8748155213659757,0.6271689206114336,-0.2406957847163057,0.6502291584023718,-1.135561756009361,-0.3516437542044278,-0.164633585773706,-0.06818846994411852,-0.031063227136665057,0.08105060130284213,-1.7173095020903324,-0.7961596343657679,-0.17361392573443943,-0.7072347424383223,0.0577720386327005,-0.6112566806019462,1.5994749898168612,0.3698264143339655,2.000487073001811,1.6913949482039066,0.5626948740671217,-2.716960825788281,-0.8772502510117891,-1.0072510297667063,-2.292328430620278,-0.7774622319858302,1.411377265707912,0.777855292395832,-1.5208221063820981,-0.17878587308896182,-1.858249629479859,0.9734474868605342,-0.40093478346826816,0.44047212144183173,0.03742018909024982,1.6858465282746171,2.162711133918693,0.05920450135454258,0.5350432392674379,-0.5585597547552774,-0.542728075690102,-0.00012507926808501534,1.8099403082319296,0.044786350598388515,-0.9104153776564116,0.45439225697901187,-1.3397704357497349,-0.009464054346955866,-1.0043787531109432,1.5001824871925797
DZQV_CD8_TE,-0.6977491818359273,0.793497059086067,-0.3287886894685933,1.0732704748650683,-1.76133608647385,-0.36854965039595156,-0.23530162817383313,0.06783341651422826,-0.2741770389308428,-0.7975963383342213,-0.4575659800883774,-0.5445985379328859,0.26868808699742475,-0.5885801751661323,1.0098636168201756,-0.2732496842623703,2.1475878148290812,1.3301330079477585,-1.907211608417977,-0.4292674264053244,-1.6418701576235377,0.08416465925620197,-2.031863108895002,0.6091510500210645,-0.4368578365496311,0.06906213486891602,-0.36088472651525205,-0.16883756966314722,0.41610882665458915,-0.10070660737557044,-0.9424933877794647,0.21471282692387145,0.6623457544612482,0.06957918727399508,-1.386493420859077,0.9162221640514883,-0.8940496939560868,-0.374710368923045,-0.5245299041867217,-1.0440599687701417,0.20136134580065218,0.8430581843831261,-0.17036175558797437,-0.1677327690180824,-1.992913944844132,-1.0698295103017907,-0.7863959433931466,-0.06849171148045877,-1.0327180522748558,0.06275070935531885
DZQV_MAIT,-0.9262953747433155,0.3100616475546609,-0.6195295672782404,0.042185404381948434,-0.13395986200337556,-0.5172747838154468,-0.467471720717776,-0.2840285218821876,-0.2600400814502099,1.8968979451185364,-2.323942209213739,-0.050871702021244046,-0.11232793607706892,2.8859193491380584,1.4674370830352743,1.3603746124475231,-1.23343987461898,0.18511291862288157,0.1354097776538706,-0.5504909071010546,0.09403149998372767,-0.35750392475267384,-1.4728921346316637,-1.0642081987401806,-0.706553348679207,-1.192510721254446,0.17287932143707324,-1.0497490018202014,-1.2638730791936905,0.4580888152827712,-0.8710629361583009,0.5206460127332454,-0.14401109291855868,0.803017182644435,-0.16091061018639063,-0.4976304820909843,-0.3636557625567392,-0.49702098159869124,0.4547131169345243,-1.173843978024785,-0.5179707541335503,0.5230285268615394,-0.3882337168199029,-0.49941424944945884,0.7186193358488512,0.4142139438443465,-0.5028248565074188,-0.7196842708061182,0.5975465641944774,0.01814231951846619
DZQV_VD2+,-0.7609792183758409,0.7323187339714764,-0.5020707564768957,1.0819626809638103,-1.4473187485707677,-0.5788896595627907,0.14138970797451764,-0.04083464303011415,-0.47059321249086544,-0.3534773095535865,-0.5236883710918774,-0.5137552081607673,0.5233175681339365,-0.4035551300205619,1.838542010740826,0.27620746622199244,1.5195273771539504,1.595463560344969,-1.3472206857230529,-1.980879063196101,-0.2988287774102647,-0.1207669174774064,-1.985465647746745,0.5294804435733907,-1.6808417569961278,-1.97151010559485,1.1790683246352363,-1.5753395180503735,-0.26097137045281593,-0.8394488358288095,0.7937906776124365,-1.0521099658870317,-0.7884713596684776,-1.4499881301110742,-0.2881010026475702,0.022186083059167694,-0.5101783410762397,-0.2113984444197767,0.4563473578393963,1.4087075682144437,1.6664011525118365,0.35006001762695804,0.831104524161983,2.44706744925636,-0.1985844614456353,0.48180190062731304,-0.05218344132182616,-2.1621507583778112,-1.8210662951089076,-0.2707272809462012
DZQV_VD2-,-0.7769735900099635,0.9719884811609572,-0.17516545217668186,0.9289396545108399,-1.753488703560355,-0.017738324677588894,-0.4644662903954227,0.03333549989538663,-0.05535663060008096,-0.886904412759337,-1.487439709958168,-0.4429435041827341,0.05191181235949877,-1.1417916569189863,0.1712785191506073,-0.7603118943495605,-0.40011462706972306,0.0552649746243792,0.09945634220137342,0.156097526848732,-0.2389614241600041,0.12112461210799902,-2.8638697683806806,-1.4804443079010532,0.38880742377836836,0.3423589605419443,-0.7287748749587475,-0.6843644138853222,-1.4949059658837447,-0.06161145732410156,-0.8650709773300551,0.01690674748222061,3.5405899408788475,0.6859625656219811,-0.2243769678793298,0.7167129807962069,-0.33142322922038053,-0.12512954337732782,-0.2596276489757662,0.3402956615287986,0.4723509983911075,-1.2610496828255044,-0.5525290739299156,1.508184531927944,-0.9127824541495587,-0.7645943243837217,0.7597075108192698,0.6612050533738557,-0.6330283077082797,-1.8377621579576395
DZQV_TFH,-0.9469245715291924,-0.4952531131753057,-0.6028382799879798,-0.08889634282947716,1.0231151650666728,-0.17222575089180792,0.07387114579712861,-0.14764722170603373,-0.621380227462509,-0.9173259418475573,-2.1215008483230404,-0.10379525862031465,0.15311841342499183,-1.8024480547594137,-0.041314098956679486,-0.6895615260181664,-0.5096201429922285,-0.13654319030605813,0.29490260394175527,-0.10956147498584515,0.8567984693982508,-0.6500103538203206,-3.073852904664225,-0.4372763230535579,-1.927864396498537,3.7065849480550788,-0.07701220754697541,0.9710409816611126,0.9961442486206741,-2.031599528228755,3.4154282730681413,0.4498217436048953,-1.5921497431383598,-0.47523804631298633,1.5219818426039318,0.37930623240762773,-0.46221386913278506,2.143555035856318,-3.06343021532714,-2.021962900793032,-1.1242277029803138,-0.0028168748009539143,0.2830247827771308,-1.068585891781913,-2.773964789877997e-05,0.17786843452323944,0.26650371671345835,-0.0023653856615001904,-1.5283983370227012,0.687591840994182
DZQV_Treg,-0.9952342072459309,-0.019088316145118182,-0.2775023253019329,-0.26989574559628765,1.1491578183318463,0.23815013421564346,0.11800695533008129,-0.14270028338073656,0.12482574619006924,0.585781621884612,-0.48133654603634124,0.6451167172640063,-0.2085539602204705,-1.64864453175976,1.3984378428486868,-0.4315491553241879,0.20438449233777595,0.10828132219860684,-0.6792102405455555,1.5390670954568169,1.8530382191780257,-1.5801343805671904,-0.06284550812141168,-1.2513800133961264,-1.214025425449643,-0.21285986373378454,0.08045398660928926,-2.178341524384848,0.27326948396393297,0.15620839887929314,0.21077064662483555,0.17523046645135404,0.9763195248011695,0.13220186523482602,1.0792350690119719,-0.4170289961708346,-0.6898167543350906,0.26604079243867473,0.38199082964381675,-0.15561781465875218,1.165798383466903,-0.41048961009522894,-0.593547374286079,1.4786481437626644,0.5586140160683475,-0.5498311297288325,0.11339101980845341,0.20908140449272772,0.8432582075632842,-0.6638622519873112
DZQV_Th1,-0.9879156836608254,-0.19451299653149362,-0.4541492390924883,-0.21441721840249828,0.9548013916069273,-0.08295290438806716,0.006680082478450703,0.0314417114351692,0.09973654926224917,-0.7253361580127698,-1.2372036694539954,-0.16390708245595412,-0.6009222084376246,-0.8444732078360064,0.39430898487970456,-0.13926599393287759,-0.32809508900257284,0.34583480186128635,-0.035706465052079465,0.8735511919539005,-2.0017048154762023,0.2202454346526692,0.35498374593706694,-1.3431640861633674,-0.5825599840581608,-1.6608523905120345,-0.8171755217703465,1.0728474601156868,-0.5039701446163655,-0.7570102492185806,-0.6059092488153961,-0.4096967701930447,-0.49739720977179486,0.0699115861757502,1.1215755637366636,-0.3768981394485631,0.03928066969333578,-0.36367967412710794,0.743785109063623,0.8412128473629177,-0.19822570629127653,-2.209057680446227,-2.5575314369691804,-0.5193664538884011,0.5488342376378414,-1.5637544037351245,0.6723375651002669,-1.3102504064479297,-0.7903970588968778,0.5845628520800157
