,total_expr,mean_expr,median_expr,std_expr,n_expressed
DZQV_CD8_naive,5040.145777129364,3.5344640793333553,3.5371029461024746,2.4692116092556717,1296
DZQV_CD8_CM,5258.460201576229,3.687559748650932,3.6996209355229746,2.4784948132307627,1316
DZQV_CD8_EM,5361.671668298016,3.759938056309969,3.870497382603985,2.5119358739798385,1327
DZQV_CD8_TE,5192.484044800136,3.641293159046379,3.7475977913205876,2.479281865919313,1322
DZQV_MAIT,5273.24031738995,3.697924486248212,3.886410049277434,2.5076997811368136,1306
DZQV_VD2+,5152.451348703529,3.6132197396237933,3.7031172380831103,2.507975230679581,1300
DZQV_VD2-,5363.110908804258,3.76094734137746,3.8985424547205243,2.5230368467957747,1316
DZQV_TFH,5122.180034900205,3.591991609326932,3.6203991457290243,2.5002772266823245,1293
DZQV_Treg,5446.37593653936,3.8193379639125946,3.9640040828730525,2.4471485674586844,1358
DZQV_Th1,5276.691621304052,3.7003447554726874,3.7622521760615313,2.41881788063413,1327
DZQV_Th1/Th17,5255.8977553430095,3.6857628017833166,3.7514195483717465,2.4866346825142753,1317
DZQV_Th17,5328.916474907568,3.736968074970244,3.8898001395047874,2.469663387473323,1323
DZQV_Th2,5310.579907879546,3.7241093323138474,3.8512764129659667,2.4805969124545717,1341
DZQV_CD4_naive,5150.519378701025,3.611864921950228,3.6891253435505957,2.4342641255805892,1327
DZQV_Progenitor,5639.646496191243,3.954871315702134,4.139441911831796,2.33486844945408,1359
DZQV_B_naive,5118.66830859575,3.5895289681597125,3.6172373984768464,2.3936196999595016,1338
DZQV_B_NSM,5202.463338189075,3.6482912610021567,3.702455031554173,2.37105276778248,1346
DZQV_B_Ex,5261.594013884261,3.689757372990365,3.7683132023437915,2.3309240834569676,1330
DZQV_B_SM,5133.902729685476,3.6002122929070657,3.674855943838544,2.3256603160361715,1344
DZQV_Plasmablasts,3703.457283961611,2.5970948695382967,2.481066628922806,2.0551151593660584,1313
DZQV_C_mono,4940.047827704819,3.464269163888372,3.3858896315266502,2.5515957401010896,1299
DZQV_I_mono,5121.695028413824,3.591651492576314,3.5556057188904684,2.5449135134503726,1314
DZQV_NC_mono,5108.900879878295,3.5826794389048353,3.545873199240533,2.5569218846910475,1319
DZQV_NK,5457.5576884986,3.827179304697476,3.9273875533002998,2.5345646469657637,1319
DZQV_pDC,4881.453197697154,3.423178960516938,3.3767093297475874,2.5545901187292475,1289
DZQV_mDC,5099.312810095095,3.5759556873037135,3.5661350068584543,2.469262851475352,1348
DZQV_Neutrophils,4098.899043900733,2.8744032565923794,2.235272648270927,2.665420032873449,1249
DZQV_Basophils,5158.554874982734,3.617499912330108,3.5367790413600737,2.512237469178517,1315
925L_CD8_naive,5363.964915134399,3.761546223796914,3.8595445441946845,2.4347564217984257,1307
925L_CD8_CM,5324.642393833445,3.7339708231651083,3.8918179483916076,2.4414543917083575,1322
925L_CD8_EM,5418.931264428285,3.800092050791224,3.975452802078645,2.5030613456063358,1302
925L_CD8_TE,5299.999232836551,3.716689504092953,3.9030423418669393,2.507262275354162,1313
925L_MAIT,5204.695937125841,3.649856898405218,3.74980053235495,2.467350363435094,1313
925L_VD2+,5298.882175552081,3.715906153963591,3.8699297223503297,2.462842195898342,1319
925L_VD2-,5444.627799527219,3.8181120613795367,4.069479352856602,2.487997175572392,1313
