,total_expr,mean_expr,median_expr,std_expr,n_expressed
DZQV_CD8_naive,-0.41313574368885986,-0.4131357436888585,-0.4399293003808179,0.3841835002320759,-1.3205578974299763
DZQV_CD8_CM,0.1596893756785323,0.1596893756785329,-0.02929412954460771,0.4653004576268181,-0.6322309818805926
DZQV_CD8_EM,0.4305011687828429,0.4305011687828438,0.40246040599448574,0.7575096030141666,-0.2536511783284315
DZQV_CD8_TE,-0.013422410115840519,-0.013422410115839022,0.0919292774572018,0.4721777512396545,-0.4257329072157774
DZQV_MAIT,0.19847023785339582,0.19847023785339657,0.44266703555722614,0.7204944772461841,-0.9763944396552845
DZQV_VD2+,-0.11846234954374854,-0.11846234954374774,-0.020460001063226593,0.7229013648773301,-1.1828925143200997
DZQV_VD2-,0.43427752536979375,0.43427752536979486,0.473322056577005,0.8545102874079035,-0.6322309818805926
DZQV_TFH,-0.19788984952104535,-0.19788984952104402,-0.229464297179512,0.6556359397131832,-1.4238069347623838
DZQV_Treg,0.6527527799130309,0.6527527799130318,0.638724341920803,0.19139587795782742,0.8132555407731135
DZQV_Th1,0.20752595454081893,0.20752595454081962,0.12895659857441663,-0.05615864333433811,-0.2536511783284315
DZQV_Th1/Th17,0.15296589154258636,0.15296589154258702,0.10158573373747613,0.5364269169442214,-0.5978146361031234
DZQV_Th17,0.3445563320579017,0.3445563320579016,0.4512327967054127,0.38813115392270003,-0.39131656143830823
DZQV_Th2,0.2964438620585992,0.29644386205860046,0.35389466764706323,0.48366867334574115,0.22817766255613722
DZQV_CD4_naive,-0.1235315562629232,-0.12353155626292199,-0.05581340422904634,0.07881117921751649,-0.2536511783284315
DZQV_Progenitor,1.1598664609411868,1.1598664609411866,1.0820041481901785,-0.789711676383816,0.8476718865505827
DZQV_B_naive,-0.20710410572345486,-0.20710410572345467,-0.23745310277370188,-0.2763412175504563,0.12492862522372965
DZQV_B_NSM,0.012761796178383166,0.012761796178384367,-0.02213320223996162,-0.473531851392536,0.40025939144348316
DZQV_B_Ex,0.1679120408275315,0.16791204082753172,0.1442710297443653,-0.8241776828828163,-0.1504021409960239
DZQV_B_SM,-0.16713121295044875,-0.1671312129504478,-0.091867981383133,-0.8701726646535751,0.3314266998885448
DZQV_Plasmablasts,-3.920410847456441,-3.9204108474564396,-3.108222546319876,-3.234205600464226,-0.7354800192130001
DZQV_C_mono,-0.6757781227841638,-0.6757781227841634,-0.8220008820251866,1.1040588848214936,-1.2173088600975688
DZQV_I_mono,-0.1991624356048977,-0.1991624356048966,-0.3931782342875585,1.0456693572421534,-0.7010636734355309
DZQV_NC_mono,-0.23273241010675233,-0.23273241010675164,-0.4177694495946681,1.1505989204537088,-0.5289819445481849
DZQV_NK,0.6820920616257126,0.6820920616257136,0.5462051387842681,0.9552406039832144,-0.5289819445481849
DZQV_pDC,-0.8295218619505971,-0.8295218619505967,-0.8451968051523153,1.1302238688351762,-1.5614723178722607
DZQV_mDC,-0.25789010287936676,-0.25789010287936553,-0.36657381973053127,0.38463125651985924,0.46909208299842153
DZQV_Neutrophils,-2.8828295061689757,-2.8828295061689744,-3.7292716596850766,2.098659491689195,-2.9381261489710284
DZQV_Basophils,-0.102447589280858,-0.10244758928085736,-0.44074771242064625,0.7601449522909163,-0.6666473276580618
925L_CD8_naive,0.4365183130742403,0.43651831307424116,0.3747858040173024,0.08311288059507758,-0.9419780938778153
925L_CD8_CM,0.3333417684408901,0.33334176844089025,0.45633120642552266,0.14163997331792008,-0.4257329072157774
925L_CD8_EM,0.5807419743152935,0.5807419743152938,0.6676518888564241,0.6799636671601824,-1.1140598227651612
925L_CD8_TE,0.26868171826142334,0.2686817182614244,0.484691948203776,0.7166715365862001,-0.7354800192130001
925L_MAIT,0.018619809251465638,0.01861980925146646,0.09749495633483637,0.36791986988052455,-0.7354800192130001
925L_VD2+,0.2657507233263079,0.26575072332630795,0.40102609545404794,0.3285273460290289,-0.5289819445481849
925L_VD2-,0.6481659240733993,0.6481659240734,0.9052293341566158,0.5483324284079846,-0.7354800192130001
925L_TFH,-0.07962849852208354,-0.07962849852208352,0.006674572519490328,0.4846546763260899,-0.5978146361031234
