,DZQV_CD8_naive,DZQV_CD8_CM,DZQV_CD8_EM,DZQV_CD8_TE,DZQV_MAIT,DZQV_VD2+,DZQV_VD2-,DZQV_TFH,DZQV_Treg,DZQV_Th1,DZQV_Th1/Th17,DZQV_Th17,DZQV_Th2,DZQV_CD4_naive,DZQV_Progenitor,DZQV_B_naive,DZQV_B_NSM,DZQV_B_Ex,DZQV_B_SM,DZQV_Plasmablasts,DZQV_C_mono,DZQV_I_mono,DZQV_NC_mono,DZQV_NK,DZQV_pDC,DZQV_mDC,DZQV_Neutrophils,DZQV_Basophils,925L_CD8_naive,925L_CD8_CM,925L_CD8_EM,925L_CD8_TE,925L_MAIT,925L_VD2+,925L_VD2-,925L_TFH,925L_Treg,925L_Th1,925L_Th1/Th17,925L_Th17,925L_Th2,925L_CD4_naive,925L_CD4_TE,925L_Progenitor,925L_B_naive,925L_B_NSM,925L_B_Ex,925L_B_SM,925L_Plasmablasts,925L_C_mono,925L_I_mono,925L_NC_mono,925L_NK,925L_pDC,925L_mDC,925L_Neutrophils,925L_Basophils,9JD4_CD8_naive,9JD4_CD8_CM,9JD4_CD8_EM,9JD4_CD8_TE,9JD4_MAIT,9JD4_VD2+,9JD4_VD2-,9JD4_TFH,9JD4_Treg,9JD4_Th1,9JD4_Th1/Th17,9JD4_Th17,9JD4_Th2,9JD4_CD4_naive,9JD4_CD4_TE,9JD4_Progenitor,9JD4_B_naive,9JD4_B_NSM,9JD4_B_Ex,9JD4_B_SM,9JD4_Plasmablasts,9JD4_C_mono,9JD4_I_mono,9JD4_NC_mono,9JD4_NK,9JD4_pDC,9JD4_mDC,9JD4_Neutrophils,9JD4_Basophils,G4YW_CD8_naive,G4YW_CD8_CM,G4YW_CD8_EM,CYFZ_PBMC,FY2H_PBMC,FLWA_PBMC,453W_PBMC,684C_PBMC,CZJE_PBMC,G4YW_CD8_TE,G4YW_MAIT,G4YW_VD2+,G4YW_VD2-,G4YW_TFH,G4YW_Treg,G4YW_Th1,G4YW_Th1/Th17,G4YW_Th17,G4YW_Th2,G4YW_CD4_naive,G4YW_Progenitor,G4YW_B_naive,G4YW_B_NSM,G4YW_B_Ex,G4YW_B_SM,G4YW_Plasmablasts,G4YW_C_mono,G4YW_I_mono,G4YW_NC_mono,G4YW_NK,G4YW_pDC,G4YW_mDC,G4YW_Neutrophils,G4YW_Basophils,DZQV_PBMC,925L_PBMC,9JD4_PBMC,G4YW_PBMC,4DUY_PBMC,36TS_PBMC,CR3L_PBMC
ENSG00000188976,52.06864,50.95278,50.47675,43.97071,70.14859,39.1917,50.454254,51.895374,54.63598,60.72533,58.99099,54.5432,54.95898,56.29564,68.04831,58.70276,49.14962,67.12094,43.24897,31.94887,41.3068,74.61738,78.09915,59.294228,52.51682,55.487644,3.982977,20.2632,80.14419,50.61784,47.62179,47.8613,45.1369,45.61523,81.18237,41.71725,55.84873,60.79863,57.6231,80.55068,45.16639,53.24604,69.49039,69.20661,62.45122,39.894323,39.98138,48.54734,19.919913,40.78956,47.47224,52.43089,63.51419,65.89641,32.74171,2.39591,22.5028828,51.9653,68.33583,59.61373,55.62062,65.50984,71.52221,51.486066,52.20082,54.91243,57.1665249,59.8815,49.18004,72.1347291,62.74694,42.844249,55.424013,48.04521,39.689619,60.63335,46.57502,27.70445,50.60564,60.35402,67.36205054,53.43198,45.180913,52.206277,6.191999,19.91439,55.744872,42.98936,53.22547,42.24245,45.19546,42.74617,48.64507,61.91959,46.452919,55.39152,48.97383,35.43766,36.79816,40.55091151,41.801413,41.29317,60.49962,65.2765,48.08789,50.9323,55.95288,42.1266072,45.73023,42.69532,36.11978,20.869439,49.45027,45.10728,79.1934,49.17464904,52.14715,64.10145,3.724451,15.932485,47.74808,43.9252,41.96022,31.2932,45.76,40.6035984,45.021746
ENSG00000187961,3.705046,3.320313,3.007574,2.3569651,3.882853,1.2674,3.800441,5.95426,0.518844,3.814064,4.491374,0.622003,1.519498,5.230253,0.0,1.981126952,1.092016,11.03432,4.155859,0.689557,0.827926,3.780867,0.848845,2.421338,0.682862,0.336667,0.061366,0.357055,4.10072,6.785059,7.080658,2.4466,1.157184,2.689562,3.928687,2.664478,3.303567,2.618791,2.86839,3.65068,1.371537354,3.2967,5.207534,0.571541,0.363649,2.289187,2.513282,1.994769,1.1494242,2.254737,2.98387,1.255513,4.6008017,1.753611,5.21948,0.2109566,1.072318,1.51438,3.596559,2.54382,8.398595,6.8626583,3.423101,2.473133,1.551479,7.075002,5.090328,4.3726763,6.546103,6.801562,9.02587,3.64926,0.368951,3.470748,3.047433,2.206636,5.395285,1.826932,3.031725,0.2467862,0.809309,1.922482,9.73756,3.088662,0.5366927,0.4750219,2.764961,1.28483518,4.258642,2.86992,1.436633,4.750751,2.2307,2.421905,2.138922,4.177952,5.028332,1.5257524,4.47798,3.375827,3.148162,2.342252,1.1270821,4.342002,2.130553,2.524309,0.8316973,2.628415,1.523623,0.675918,2.04804,1.6739352,4.032999,0.981649,2.062414,6.15926,2.51341,2.458896,0.152271,0.237316,3.120519,2.810086,1.958325,2.594331,2.512004,1.530214,2.373188
ENSG00000187583,0.0,0.0,1.697508,0.431218,3.302260691,1.028653,1.8587137,0.948046,3.406227,1.658814,1.78701,4.353358,2.55998,0.0,0.0,0.0,0.0,1.393133,0.850701,1.340941,1.26752,1.796993,0.480952,0.902294,0.0,0.0744617,0.0,0.0,0.0,1.590091,2.446366,2.8416746,3.92069,1.698663,3.8327,3.482935,1.439634,4.672172,4.078312,4.22039,3.384352,0.503001,3.915900065,0.0,0.0488486,0.0,0.6346484,0.4692478,1.351621,1.427017,0.0,0.0,0.94754,0.0,0.0,0.0,0.327107,0.517528,1.436547,3.49111,5.9957,4.017675,3.1175973,0.579148,0.51295,3.415631,2.440713,3.5833,1.61859465,2.167322,0.0,2.17005,0.0641704,0.0,0.0,1.539095,0.16593,1.547483,1.013342,0.0720469,0.0,1.387047,0.0,1.015735,0.0,0.583609,0.19212,0.2727142,1.304133,0.870162,1.06565,0.958504,1.394301,1.67372,0.718597004,0.669843,2.423877,1.473152,1.149014,0.613055,3.239625,0.940105001,3.540703,4.33374,3.051295,0.347847,0.0,0.0536976,2.669541,0.996473,0.0,1.725539,3.5127779,0.510038,0.156752,1.648943,0.0,1.779946,0.2525446,0.0,1.331219,1.803724,0.643131029,1.02172,1.4157786,0.149006,1.359736
ENSG00000187608,7.37667,16.4816,29.2267,72.0104,27.405663,63.59875,20.86332158,28.0745,40.8196,13.3783,25.703271,32.23615944,23.3626,23.2184,15.547988,22.6211,21.707585,24.75329,22.224,36.801495,84.523484,227.20135,116.594,52.3864,11.9575,67.17304007,1430.24419,193.336672,12.1541,17.8022,10.9681,6.35673,12.8528,13.0241,15.154866,22.1794,12.7863,18.7789,9.18071,8.97517,7.55702,5.5271,8.52889,3.83654,6.70873,8.07956,23.167,3.42635,6.28242,4.12276,32.5432,19.522678,15.806759,1.56268,15.5232,11.6902,8.27683,9.57789,18.8348,34.7499,28.4535,17.0111,21.76188366,28.14398,16.3398,21.1327,20.9878,27.007259,24.8987,19.4029,7.52355,19.257827,7.58973,6.8688,20.1491,16.8387,10.318,16.8602,29.732267,43.813844,29.17895574,21.0782,9.61611,32.8464,109.1542249,36.0561,17.54910001,22.2922,14.0027,24.6553,58.4852,25.8108,19.9528,28.9482,22.7554,21.853663,18.4695,25.03013,24.356741,25.9135,32.44608,26.9689,22.9008,25.6236,28.8955,17.032,11.5049,12.91135,20.3078,26.3507,19.92202,20.0171,39.7395,60.9922,51.0335,28.2341,13.792674,30.3065,227.02276,49.634869,92.9024,14.4891,40.926336,33.7165,15.3824,15.7822,29.332
ENSG00000188157,0.3361312,0.10284,0.234550967,1.3777619,1.724793281,1.160909897,1.008895,0.684611,0.270574,1.33155308,0.756983,1.27524,0.666797821,0.876117,0.06901232,1.3991032,2.042780034,2.474983,2.829273415,0.0,2.852913102,2.629795,3.0924562,2.386154,0.4463869,1.995782549,6.46033,2.415037705,0.849907039,1.1035797,1.091284761,0.15749468,1.52215,0.22596,1.19697,0.466067,0.429364,0.646854874,1.30243,1.28138,0.928044,1.0215611,0.0,1.6474443,0.586731223,1.2271605,0.7058999,1.841398,0.150707,3.426937486,5.188547,2.789657011,1.6678619,0.743399,3.650691,14.115,4.54901,1.8543128,2.988373766,1.72942784,1.304301899,0.600140838,1.398708755,1.171521461,1.983489648,1.677237554,0.5298855,1.080980677,1.56771,1.3989071,1.33217,0.017602498,1.815875883,0.690867753,2.929414822,1.319806938,0.857647962,0.538861515,8.602845301,2.467992985,1.805506388,1.471199,2.344042,3.690138,15.99869318,5.332431,0.689246184,1.0554571,1.04836,0.668643606,1.565452,2.113671,0.7314009,3.981880048,2.222341305,1.0616146,0.549734,2.681782419,1.27281696,2.4510022,0.582718217,0.5464847,1.0835206,1.2379429,2.62379,0.389276727,0.891634464,2.082735616,1.409884,0.529732,0.97976491,0.0177037,10.32028309,6.4425343,4.334574,1.665487993,1.007562527,4.812283,6.702932127,5.01276,2.997065,1.331580221,0.550534037,0.599851545,1.149196246,0.711132507,3.077686995
ENSG00000131591,17.56877339,11.4657242,14.524947,11.784363,16.919621,17.67282841,10.194411,6.628888,10.12030458,15.532887,12.40644414,7.403263,14.644198,13.5322489,12.81767,7.210266,13.567077,7.66497,9.328664,6.2573118,6.405135,11.75663389,16.027716,26.992013,9.120732,9.954090026,0.432648,7.559896002,25.87905,17.334356,13.481729,17.63339274,15.907098,21.873177,21.266016,8.270798,9.1505158,12.698904,15.022987,21.107418,9.697093,10.990449,28.511159,13.600573,16.601936,9.195133,8.497205,15.085436,2.7039883,11.19348304,9.340999,10.796358,25.691718,5.4675535,9.597816,0.849903,4.74128279,19.521721,18.804331,16.86588101,20.000301,13.326346,14.471929,23.864955,14.532015,12.47718,9.900264,12.097387,11.442368,13.75701453,11.789721,19.859958,10.56620788,17.260622,13.857,16.686866,8.715481,5.004825484,16.059112,13.06201,13.072482,15.803337,12.16248453,8.600752,2.1640036,7.398274,12.9872796,12.337968,12.248511,9.426873,9.800343,7.395994,8.495009,13.33486871,13.809017,17.35223,12.127991,14.469932,16.853231,10.26376,16.0680536,8.970447,11.494668,11.988546,12.962302,14.851775,15.420091,12.721535,12.061228,13.34711053,12.65654,4.9417339,8.401954376,17.0677357,15.364501,17.393129,17.19482,12.73088,1.3924216,3.554104001,8.60314,5.110717,12.647817,12.584708,13.5708073,9.50236,11.106063
ENSG00000162571,1.53707,0.467157,1.58727,0.488809,0.377024,1.31094,2.20642,1.76365,1.585359,3.86839,3.305942713,0.930663,1.491702101,1.32472,3.521416302,0.877563,2.08755,4.23614,0.633818,0.385041,0.342351,1.18347,1.9442,2.454365,0.612991,1.95519,1.67563,0.4021281,2.47567,1.02385,0.413381,0.4229,0.81918,0.0,1.42678,2.25695,2.49351,1.9101,4.17759,1.91557,0.67743,2.5961,1.4547,12.3954913,1.65393,4.33433,1.12935,0.978021,0.257289509,0.734267,0.468088,1.88352,3.01185303,0.67228,1.23076,1.44239,1.7575,2.07999,3.38832,1.23791,2.06193,1.6038,1.27206,1.50352,1.02736,2.89179,4.31329,1.900947,3.725201384,1.559415,1.42827,1.8071,4.585000359,1.297936835,2.59341,4.240865653,2.441571,0.162776,2.22195,1.44116,2.02176,1.811821348,1.03686,0.70331,1.98429,0.520952,1.42481,1.43949,1.23806,0.343323,0.780077,0.576152,0.688181,1.98683,0.293756,1.6922,0.670659,4.41752,1.36707,3.21676,0.350759,1.16452,0.316722,1.7947066,2.79283,1.66724,2.271846237,2.55325,0.954821,0.338926,0.729354902,0.124704,0.77787,0.397024,0.341384,0.857304,1.32867,0.35004,1.71033,3.02436,0.5371728,1.79485,0.790907,0.740394,1.07128,2.0638816,2.11117
ENSG00000186891,0.0,1.5648731,0.154772,6.79825,10.20135,3.05903,9.743298,3.6691,33.13419,7.45097,47.942306,68.863331,36.169096,0.0,5.241759,11.99031,7.62696,7.511595,7.680762,6.943423,0.0,3.01404,0.0,30.5318,0.0,0.0,1.023241,0.0,0.0,1.367952,3.59202,1.34481,4.081859,1.811644,9.95077,7.74219,27.10621,11.805369,12.632793,18.69397,3.83148,0.0,16.72546,21.174519,6.365333,8.0229,1.728725,4.17793,1.251207,0.0,0.626563,0.178797,21.433,0.0,0.0,0.0,0.0,0.0,2.285901,2.087011,2.163605,4.84457,3.489098,3.87238,11.858346,15.37278,10.372503,26.69974,32.1226,16.27203,0.0,7.09031,10.15498,4.3297,10.34485,1.49307,3.42979,3.478907,0.0,0.0,0.92934121,30.43045,0.0,0.187878,0.0,0.219803,0.0,0.537443,1.308693,4.36451,6.9953,8.04662,8.18039,3.67894,8.7613,0.0,6.95824,1.66663,10.416218,12.8796601,31.1301,9.579043,18.059785,28.96724,20.29012,0.0,22.331895,7.69447,17.177174,3.81747,1.93849,1.662657,0.0,0.182799,0.0,33.977009,0.0,0.0,0.0,0.341148,6.0752883,5.03059,9.03363,8.519067,10.24298,3.974032,5.61354
ENSG00000186827,0.0,0.0,0.175219,0.288104,1.364768,0.926373,2.55317,8.07186,23.34448,10.25428,74.63309,82.3697,43.2418,1.46906,3.998004,0.0,0.0,0.0,0.0,0.692606,0.597048,0.132337,0.0,3.8978816,0.0,0.0,0.0,2.781467,0.0,1.022962,0.0719931,0.0,0.0,0.127371,1.847181,31.93296,27.819165,9.50089,9.78881,21.85232,13.01708,0.55221,4.697271,4.981594,0.113983,0.0,0.0,0.0,0.2972488,0.0,0.118175,0.305684,3.54554,0.967529,0.0,0.0,1.787585,0.0,2.622561,6.33838,0.243548,1.941473,0.406637,0.789461,21.79134,25.83421,21.12382,39.074,54.99799,45.12592,1.73898,3.683245,7.62647,0.0,0.0,0.12991,0.0,0.4130993,0.0,0.0,0.0,8.837294,0.128678,0.214083,0.0,4.301373,0.0,2.843742,1.86322,3.701768,6.859287,7.613647,10.24421,10.143378,3.542753,0.14845,1.423031,1.846558,0.302703,47.99132,29.50789,9.5327,8.343853,17.21992,26.01575,0.819638,5.574822,0.0,0.666573,0.52154,0.0,0.0,0.0,0.0,1.33662,6.819739,0.575045,0.0,0.0,0.386758,4.859321,2.948762,10.95352,5.775287,5.073953,3.040582,5.092519
ENSG00000078808,0.9037906,2.7505636,19.563907,27.503655,26.572386,25.682539,6.031937,1.412,43.25404,23.18730631,47.297327,94.22011,64.947216,57.7320383,34.9758778,3.09191,8.133151,33.9923706,63.511466,99.7465587,94.011337,66.450236,50.33623,25.002122,6.985952,51.745657,22.777853,46.522801,51.76156,70.820207,73.767427,11.612012,2.30632,49.153225,97.598836,65.960069,71.59293,68.14626074,39.050906,1.141172,1.9149409,18.78708706,111.62438,78.78521,44.629601,34.9684909,18.904948,2.50988015,59.4130426,33.30468,61.911342,65.617519,133.9935,68.7310719,34.207651,41.550673,12.30197,40.102717,55.149389,101.266506,120.489864,79.102878,43.22494036,1.63382,28.6875,66.408337,86.210102,82.64917307,113.474835,111.2726,48.988659,11.0927031,67.120451,47.15489288,58.909503,63.99177,72.35699486,67.5501543,51.914285,16.214912,18.235906,101.89734,80.041813,81.822867,30.053907,49.999093,27.42180801,6.895212,2.5486507,17.99616,33.82551,68.557334,44.046339,25.728117,21.142286,8.4868763,15.390179,24.464315,48.41694026,35.291945,33.853839,14.633173,2.857133,11.161626,20.85543936,41.2127355,81.597938,46.53937,35.2296473,18.03850013,1.798406,4.4799393,32.9166724,50.126703,85.941238,144.3533256,71.407913,26.576193,31.3879015,11.023997,23.1991068,43.335568,58.67744954,64.882183,43.110134,22.78994402,54.433966
