	DZQV_CD8_naive	DZQV_CD8_CM	DZQV_CD8_EM	DZQV_CD8_TE	DZQV_MAIT	DZQV_VD2+	DZQV_VD2-	DZQV_TFH	DZQV_Treg	DZQV_Th1	DZQV_Th1/Th17	DZQV_Th17	DZQV_Th2	DZQV_CD4_naive	DZQV_Progenitor	DZQV_B_naive	DZQV_B_NSM	DZQV_B_Ex	DZQV_B_SM	DZQV_Plasmablasts	DZQV_C_mono	DZQV_I_mono	DZQV_NC_mono	DZQV_NK	DZQV_pDC	DZQV_mDC	DZQV_Neutrophils	DZQV_Basophils	925L_CD8_naive	925L_CD8_CM	925L_CD8_EM	925L_CD8_TE	925L_MAIT	925L_VD2+	925L_VD2-	925L_TFH	925L_Treg	925L_Th1	925L_Th1/Th17	925L_Th17	925L_Th2	925L_CD4_naive	925L_CD4_TE	925L_Progenitor	925L_B_naive	925L_B_NSM	925L_B_Ex	925L_B_SM	925L_Plasmablasts	925L_C_mono	925L_I_mono	925L_NC_mono	925L_NK	925L_pDC	925L_mDC	925L_Neutrophils	925L_Basophils	9JD4_CD8_naive	9JD4_CD8_CM	9JD4_CD8_EM	9JD4_CD8_TE	9JD4_MAIT	9JD4_VD2+	9JD4_VD2-	9JD4_TFH	9JD4_Treg	9JD4_Th1	9JD4_Th1/Th17	9JD4_Th17	9JD4_Th2	9JD4_CD4_naive	9JD4_CD4_TE	9JD4_Progenitor	9JD4_B_naive	9JD4_B_NSM	9JD4_B_Ex	9JD4_B_SM	9JD4_Plasmablasts	9JD4_C_mono	9JD4_I_mono	9JD4_NC_mono	9JD4_NK	9JD4_pDC	9JD4_mDC	9JD4_Neutrophils	9JD4_Basophils	G4YW_CD8_naive	G4YW_CD8_CM	G4YW_CD8_EM	CYFZ_PBMC	FY2H_PBMC	FLWA_PBMC	453W_PBMC	684C_PBMC	CZJE_PBMC	G4YW_CD8_TE	G4YW_MAIT	G4YW_VD2+	G4YW_VD2-	G4YW_TFH	G4YW_Treg	G4YW_Th1	G4YW_Th1/Th17	G4YW_Th17	G4YW_Th2	G4YW_CD4_naive	G4YW_Progenitor	G4YW_B_naive	G4YW_B_NSM	G4YW_B_Ex	G4YW_B_SM	G4YW_Plasmablasts	G4YW_C_mono	G4YW_I_mono	G4YW_NC_mono	G4YW_NK	G4YW_pDC	G4YW_mDC	G4YW_Neutrophils	G4YW_Basophils	DZQV_PBMC	925L_PBMC	9JD4_PBMC	G4YW_PBMC	4DUY_PBMC	36TS_PBMC	CR3L_PBMC	ensembl_gene_id	external_gene_name	gene_biotype
27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ENSG00000186092	OR4F5	protein_coding
32.0	0.0	0.216076	0.0	0.161126	0.360602	0.0	0.0	0.17714	0.0	0.223683	0.0	0.113253	0.0662097	0.48947	0.0700743	0.0	0.0	0.0	0.0	0.0	0.0	0.143714	0.068109	0.0	0.0651952	0.0550635	0.0	0.0	0.576656	0.2047551	0.0	0.0	0.0	0.55605	0.727309	0.2667411	0.056615	0.0	0.0687195	0.152716	0.0	0.124346	0.324452	0.0	0.0641031	0.2584129	0.0	0.0	0.033295701	0.0	0.0	0.111183	0.882334	0.0545096	0.056567	0.0	0.0	0.0	0.156621	0.0737294	0.1342545	0.4340112	0.379377	0.272668	0.604537	0.0765297	0.123983	0.572407	0.0	0.815005	0.343087	0.0803478	0.741426	0.131155	0.0	0.865675	0.438159	0.0	0.0642938	0.560015	0.219018	0.492442	0.215733	0.119977	0.0	0.0	0.188291	0.0852239	0.0	0.1174387	0.0	0.2801879	0.110445	0.0558563	0.0	0.0831078	0.0	0.16651	0.0	0.176441	0.0662641	0.2128282	0.143231	0.547822	0.0	0.694564	0.282116	0.482524	0.0755933	0.1760217	0.0	0.0	0.132946	0.2238249	0.0756998	0.124033	0.0657998	0.2708253	0.0	0.0	0.0	0.471869	0.467258	0.538571	0.0	0.110385	0.312237	ENSG00000187634	SAMD11	protein_coding
38.0	52.06864	50.95278	50.47675	43.97071	70.14859	39.1917	50.454254	51.895374	54.63598	60.72533	58.99099	54.5432	54.95898	56.29564	68.04831	58.70276	49.14962	67.12094	43.24897	31.94887	41.3068	74.61738	78.09915	59.294228	52.51682	55.487644	3.982977	20.2632	80.14419	50.61784	47.62179	47.8613	45.1369	45.61523	81.18237	41.71725	55.84873	60.79863	57.6231	80.55068	45.16639	53.24604	69.49039	69.20661	62.45122	39.894323	39.98138	48.54734	19.919913	40.78956	47.47224	52.43089	63.51419	65.89641	32.74171	2.39591	22.5028828	51.9653	68.33583	59.61373	55.62062	65.50984	71.52221	51.486066	52.20082	54.91243	57.1665249	59.8815	49.18004	72.1347291	62.74694	42.844249	55.424013	48.04521	39.689619	60.63335	46.57502	27.70445	50.60564	60.35402	67.36205054	53.43198	45.180913	52.206277	6.191999	19.91439	55.744872	42.98936	53.22547	42.24245	45.19546	42.74617	48.64507	61.91959	46.452919	55.39152	48.97383	35.43766	36.79816	40.55091151	41.801413	41.29317	60.49962	65.2765	48.08789	50.9323	55.95288	42.1266072	45.73023	42.69532	36.11978	20.869439	49.45027	45.10728	79.1934	49.17464904	52.14715	64.10145	3.724451	15.932485	47.74808	43.9252	41.96022	31.2932	45.76	40.6035984	45.021746	ENSG00000188976	NOC2L	protein_coding
35.0	3.705046	3.320313	3.007574	2.3569651	3.882853	1.2674	3.800441	5.95426	0.518844	3.814064	4.491374	0.622003	1.519498	5.230253	0.0	1.981126952	1.092016	11.03432	4.155859	0.689557	0.827926	3.780867	0.848845	2.421338	0.682862	0.336667	0.061366	0.357055	4.10072	6.785059	7.080658	2.4466	1.157184	2.689562	3.928687	2.664478	3.303567	2.618791	2.86839	3.65068	1.371537354	3.2967	5.207534	0.571541	0.363649	2.289187	2.513282	1.994769	1.1494242	2.254737	2.98387	1.255513	4.6008017	1.753611	5.21948	0.2109566	1.072318	1.51438	3.596559	2.54382	8.398595	6.8626583	3.423101	2.473133	1.551479	7.075002	5.090328	4.3726763	6.546103	6.801562	9.02587	3.64926	0.368951	3.470748	3.047433	2.206636	5.395285	1.826932	3.031725	0.2467862	0.809309	1.922482	9.73756	3.088662	0.5366927	0.4750219	2.764961	1.28483518	4.258642	2.86992	1.436633	4.750751	2.2307	2.421905	2.138922	4.177952	5.028332	1.5257524	4.47798	3.375827	3.148162	2.342252	1.1270821	4.342002	2.130553	2.524309	0.8316973	2.628415	1.523623	0.675918	2.04804	1.6739352	4.032999	0.981649	2.062414	6.15926	2.51341	2.458896	0.152271	0.237316	3.120519	2.810086	1.958325	2.594331	2.512004	1.530214	2.373188	ENSG00000187961	KLHL17	protein_coding
30.0	0.0	0.0	1.697508	0.431218	3.302260691	1.028653	1.8587137	0.948046	3.406227	1.658814	1.78701	4.353358	2.55998	0.0	0.0	0.0	0.0	1.393133	0.850701	1.340941	1.26752	1.796993	0.480952	0.902294	0.0	0.0744617	0.0	0.0	0.0	1.590091	2.446366	2.8416746	3.92069	1.698663	3.8327	3.482935	1.439634	4.672172	4.078312	4.22039	3.384352	0.503001	3.915900065	0.0	0.0488486	0.0	0.6346484	0.4692478	1.351621	1.427017	0.0	0.0	0.94754	0.0	0.0	0.0	0.327107	0.517528	1.436547	3.49111	5.9957	4.017675	3.1175973	0.579148	0.51295	3.415631	2.440713	3.5833	1.61859465	2.167322	0.0	2.17005	0.0641704	0.0	0.0	1.539095	0.16593	1.547483	1.013342	0.0720469	0.0	1.387047	0.0	1.015735	0.0	0.583609	0.19212	0.2727142	1.304133	0.870162	1.06565	0.958504	1.394301	1.67372	0.718597004	0.669843	2.423877	1.473152	1.149014	0.613055	3.239625	0.940105001	3.540703	4.33374	3.051295	0.347847	0.0	0.0536976	2.669541	0.996473	0.0	1.725539	3.5127779	0.510038	0.156752	1.648943	0.0	1.779946	0.2525446	0.0	1.331219	1.803724	0.643131029	1.02172	1.4157786	0.149006	1.359736	ENSG00000187583	PLEKHN1	protein_coding
33.0	0.0	0.0	0.450579	0.247001	0.840971	0.793949	0.0	0.0	1.15942	0.228395	0.534099	0.778686	0.405672	0.0	0.0	0.0	0.0	0.799012	0.31877	0.335293	0.532051	0.226939	0.428106	0.956896	0.0	0.0	0.0	0.0	0.0	0.52579	1.30243	0.0	1.01731	0.0335733	0.607405	1.02508	0.0	0.980485	0.324717	1.1685636	0.670813	0.094799	0.0990756	0.0	0.0	0.0	0.0	0.0	0.1680987	0.194348	0.0	0.0	0.1125721	0.0	0.0	0.0	0.313839	0.0	0.0	1.126878	1.04464	0.345136	0.0	0.278188	0.102885	1.87694	0.294429	1.08001	0.442766	0.106307	0.0	0.127548	0.0	0.0	0.0	0.334426	0.0	0.0485865	0.098399	0.0	0.0	0.127981	0.0	0.55077	0.0	0.0	0.0	0.0	0.106517	0.0	0.266629	0.17468	0.17735	0.354147	0.385868	0.254304	0.232815	0.383317	0.129665	0.13973	0.314714	0.0	0.574586	0.978384	0.135041	0.0	0.0	0.0	0.116073	0.091426	0.0	0.113825	0.421254	0.0	0.0	0.29671	0.0	0.105732	0.0	0.0	1.23523	0.496976	0.3227019	0.414302	0.225229	0.253919	0.261176	ENSG00000187642	PERM1	protein_coding
37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.467187	0.0	0.0	0.190519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62033	6.310835	3.969401	0.0	0.0	0.203361	2.447175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.223141	0.0	0.0	0.215788	6.35133	9.42272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.118619	0.0	0.0	0.0	0.0	0.0	0.287923	0.0	0.0	0.0	0.0	0.0	0.0	0.322848	0.0	0.0	0.0	0.0	0.55911	0.0	0.0	0.0	0.0	0.0	0.648549	0.388787	0.0	0.535784	0.112491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.302935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.623492	13.57177	0.0	0.0	0.0	0.7318605	0.0	0.239823	0.204282	0.0	0.3688317	0.758221	0.754632	0.0	ENSG00000188290	HES4	protein_coding
31.0	7.37667	16.4816	29.2267	72.0104	27.405663	63.59875	20.86332158	28.0745	40.8196	13.3783	25.703271	32.23615944	23.3626	23.2184	15.547988	22.6211	21.707585	24.75329	22.224	36.801495	84.523484	227.20135	116.594	52.3864	11.9575	67.17304007	1430.24419	193.336672	12.1541	17.8022	10.9681	6.35673	12.8528	13.0241	15.154866	22.1794	12.7863	18.7789	9.18071	8.97517	7.55702	5.5271	8.52889	3.83654	6.70873	8.07956	23.167	3.42635	6.28242	4.12276	32.5432	19.522678	15.806759	1.56268	15.5232	11.6902	8.27683	9.57789	18.8348	34.7499	28.4535	17.0111	21.76188366	28.14398	16.3398	21.1327	20.9878	27.007259	24.8987	19.4029	7.52355	19.257827	7.58973	6.8688	20.1491	16.8387	10.318	16.8602	29.732267	43.813844	29.17895574	21.0782	9.61611	32.8464	109.1542249	36.0561	17.54910001	22.2922	14.0027	24.6553	58.4852	25.8108	19.9528	28.9482	22.7554	21.853663	18.4695	25.03013	24.356741	25.9135	32.44608	26.9689	22.9008	25.6236	28.8955	17.032	11.5049	12.91135	20.3078	26.3507	19.92202	20.0171	39.7395	60.9922	51.0335	28.2341	13.792674	30.3065	227.02276	49.634869	92.9024	14.4891	40.926336	33.7165	15.3824	15.7822	29.332	ENSG00000187608	ISG15	protein_coding
36.0	0.3361312	0.10284	0.234550967	1.3777619	1.724793281	1.160909897	1.008895	0.684611	0.270574	1.33155308	0.756983	1.27524	0.666797821	0.876117	0.06901232	1.3991032	2.042780034	2.474983	2.829273415	0.0	2.852913102	2.629795	3.0924562	2.386154	0.4463869	1.995782549	6.46033	2.415037705	0.849907039	1.1035797	1.091284761	0.15749468	1.52215	0.22596	1.19697	0.466067	0.429364	0.646854874	1.30243	1.28138	0.928044	1.0215611	0.0	1.6474443	0.586731223	1.2271605	0.7058999	1.841398	0.150707	3.426937486	5.188547	2.789657011	1.6678619	0.743399	3.650691	14.115	4.54901	1.8543128	2.988373766	1.72942784	1.304301899	0.600140838	1.398708755	1.171521461	1.983489648	1.677237554	0.5298855	1.080980677	1.56771	1.3989071	1.33217	0.017602498	1.815875883	0.690867753	2.929414822	1.319806938	0.857647962	0.538861515	8.602845301	2.467992985	1.805506388	1.471199	2.344042	3.690138	15.99869318	5.332431	0.689246184	1.0554571	1.04836	0.668643606	1.565452	2.113671	0.7314009	3.981880048	2.222341305	1.0616146	0.549734	2.681782419	1.27281696	2.4510022	0.582718217	0.5464847	1.0835206	1.2379429	2.62379	0.389276727	0.891634464	2.082735616	1.409884	0.529732	0.97976491	0.0177037	10.32028309	6.4425343	4.334574	1.665487993	1.007562527	4.812283	6.702932127	5.01276	2.997065	1.331580221	0.550534037	0.599851545	1.149196246	0.711132507	3.077686995	ENSG00000188157	AGRN	protein_coding
95.0	0.720733	0.388219	0.0	0.468164	0.246199	0.0	0.58212	0.425636	0.495459	0.370264	0.0668195	0.311786	0.390095	0.1477	0.483135	0.0656455	0.698065	0.0	0.499829	0.0561707	0.0629201	0.133901	0.508735	0.769177	0.263179	0.74573	0.526617	0.548083	0.63978	0.773394	0.355882	0.340087	0.267922	0.0603092	0.167375	0.0513612	0.276486	0.154287	0.421572	0.392116	0.736306	0.343335	0.191692	0.542501	0.173797	0.257659	0.297577	0.0	0.0299211	0.117743	0.284028	0.319802	0.488382	0.602853	0.162165	0.696738	0.603908	0.324274	0.217575	0.399377	0.369631	0.274397	0.21613	0.0867428	0.207776	0.278796	0.174623	0.512173	0.400281	0.20236	0.399415	0.0	0.53319	0.328136	0.249973	0.197547	0.152837	0.0570524	0.0586044	0.16959	0.286157	0.328826	0.323434	0.225159	0.317997	0.182264	0.18843	0.0827573	0.188321	0.0539909	0.0597988	0.323862	0.0	0.120788	0.0453089	0.380389	0.632698	0.0	0.388697	0.164199	0.561379	0.06528	0.143021	0.503303	0.0790565	0.0	0.147215	0.388431	0.203787	0.16686	0.150959	0.0340608	0.253376	0.0679688	0.0679683	0.234999	0.240248	0.378035	0.141703	0.643555	0.0494402	0.0546764	0.548669	0.159238	0.0	0.0508167	0.214961	ENSG00000237330	RNF223	protein_coding
