sample,batch,label
DZQV_Treg,DZQV,0
DZQV_Th1,DZQV,0
DZQV_Th1/Th17,DZQV,0
DZQV_Th17,DZQV,0
DZQV_Th2,DZQV,0
DZQV_CD4_naive,DZQV,0
DZQV_Progenitor,DZQV,0
DZQV_B_naive,DZQV,0
DZQV_B_NSM,DZQV,0
DZQV_B_Ex,DZQV,0
DZQV_B_SM,DZQV,0
DZQV_Plasmablasts,DZQV,0
DZQV_C_mono,DZQV,0
DZQV_I_mono,DZQV,0
DZQV_NC_mono,DZQV,0
DZQV_NK,DZQV,0
DZQV_pDC,DZQV,0
DZQV_mDC,DZQV,0
DZQV_Neutrophils,DZQV,0
DZQV_Basophils,DZQV,0
925L_CD8_naive,925L,1
925L_CD8_CM,925L,1
925L_CD8_EM,925L,1
925L_CD8_TE,925L,1
925L_MAIT,925L,1
925L_VD2+,925L,1
925L_VD2-,925L,1
925L_TFH,925L,1
925L_Treg,925L,1
925L_Th1,925L,1
925L_Th1/Th17,925L,1
925L_Th17,925L,1
925L_Th2,925L,1
925L_CD4_naive,925L,1
925L_CD4_TE,925L,1
925L_Progenitor,925L,1
925L_B_naive,925L,1
925L_B_NSM,925L,1
925L_B_Ex,925L,1
925L_B_SM,925L,1
925L_Plasmablasts,925L,1
925L_C_mono,925L,1
925L_I_mono,925L,1
925L_NC_mono,925L,1
925L_NK,925L,1
925L_pDC,925L,1
925L_mDC,925L,1
925L_Neutrophils,925L,1
925L_Basophils,925L,1
