learning_rate,batch_size,weight_decay,hidden_dims,val_auc,trial
0.001,64,0.001,"[512, 256, 64]",0.8888888888888888,1
0.0005,16,0.0001,"[2048, 1024, 256]",0.9,2
0.005,32,0.001,"[1024, 256]",0.9,3
0.0005,16,0.001,"[1024, 256]",0.7277777777777777,4
0.0005,32,1e-05,"[1024, 256]",0.9555555555555555,5
0.001,32,0.001,"[1024, 512, 128]",0.8222222222222223,6
0.001,32,0.0001,"[512, 256, 64]",0.9,7
0.005,32,1e-05,"[2048, 1024, 256]",0.9444444444444444,8
0.0005,32,0.0001,"[1024, 512, 128]",0.9,9
0.005,128,0.001,"[1024, 512, 128]",0.9222222222222223,10
0.005,64,0.001,"[1024, 256]",0.9555555555555555,11
0.0005,32,1e-05,"[1024, 512, 128]",0.8777777777777778,12
0.0005,32,0.001,"[1024, 256]",0.8833333333333334,13
0.0005,32,0.001,"[2048, 1024, 256]",0.888888888888889,14
0.005,16,1e-05,"[2048, 1024, 256]",0.9222222222222223,15
0.001,128,1e-05,"[1024, 256]",0.8611111111111112,16
0.0005,128,0.001,"[1024, 512, 128]",0.8777777777777778,17
0.005,64,1e-05,"[1024, 512, 128]",0.8444444444444444,18
0.005,128,0.001,"[512, 256, 64]",0.9222222222222223,19
0.0005,16,0.0001,"[512, 256, 64]",0.8888888888888888,20
