gene,disease,shap_score,biological_score,combined_score,evidence_source
ENSG00000283041.1,hemophilia,0.7262048718622035,0.0,0.4357229231173221,xai_only
ENSG00000123689.5,hemophilia,0.05518147184273276,0.0,0.033108883105639655,xai_only
ENSG00000122877.15,hemophilia,0.04683089524579773,0.0,0.028098537147478637,xai_only
ENSG00000229644.6,hemophilia,0.037153984144258155,0.0,0.022292390486554892,xai_only
ENSG00000180596.7,hemophilia,0.025864764362393843,0.0,0.015518858617436305,xai_only
ENSG00000202290.1,hemophilia,0.010672743326234071,0.0,0.006403645995740443,xai_only
ENSG00000232177.1,hemophilia,0.006837095366275083,0.0,0.00410225721976505,xai_only
ENSG00000065534.18,hemophilia,0.005092040570630535,0.0,0.003055224342378321,xai_only
ENSG00000225972.1,hemophilia,0.003938807840565338,0.0,0.0023632847043392026,xai_only
ENSG00000211973.2,hemophilia,0.0036497273635633792,0.0,0.0021898364181380274,xai_only
ENSG00000198478.7,hemophilia,0.003278027617520028,0.0,0.0019668165705120167,xai_only
ENSG00000254052.1,hemophilia,0.003175280775891504,0.0,0.0019051684655349023,xai_only
ENSG00000081041.8,hemophilia,0.0026595240893481443,0.0,0.0015957144536088866,xai_only
ENSG00000259600.2,hemophilia,0.0025705373740778845,0.0,0.0015423224244467306,xai_only
ENSG00000254281.1,hemophilia,0.0025172242815926157,0.0,0.0015103345689555694,xai_only
ENSG00000156265.15,hemophilia,0.002400114420602021,0.0,0.0014400686523612127,xai_only
ENSG00000210112.1,hemophilia,0.00235269322874415,0.0,0.0014116159372464898,xai_only
ENSG00000121797.9,hemophilia,0.00226805993066938,0.0,0.001360835958401628,xai_only
ENSG00000104267.9,hemophilia,0.0021910392203294752,0.0,0.001314623532197685,xai_only
ENSG00000140379.7,hemophilia,0.002178895154933663,0.0,0.0013073370929601977,xai_only
ENSG00000170956.16,hemophilia,0.001914351689400321,0.0,0.0011486110136401926,xai_only
ERCC-00046,hemophilia,0.0018899748486169445,0.0,0.0011339849091701667,xai_only
ENSG00000283041.1,von_willebrand_disease,0.7262048718622035,0.0,0.4357229231173221,xai_only
ENSG00000123689.5,von_willebrand_disease,0.05518147184273276,0.0,0.033108883105639655,xai_only
ENSG00000122877.15,von_willebrand_disease,0.04683089524579773,0.0,0.028098537147478637,xai_only
ENSG00000229644.6,von_willebrand_disease,0.037153984144258155,0.0,0.022292390486554892,xai_only
ENSG00000180596.7,von_willebrand_disease,0.025864764362393843,0.0,0.015518858617436305,xai_only
ENSG00000202290.1,von_willebrand_disease,0.010672743326234071,0.0,0.006403645995740443,xai_only
ENSG00000232177.1,von_willebrand_disease,0.006837095366275083,0.0,0.00410225721976505,xai_only
ENSG00000065534.18,von_willebrand_disease,0.005092040570630535,0.0,0.003055224342378321,xai_only
ENSG00000225972.1,von_willebrand_disease,0.003938807840565338,0.0,0.0023632847043392026,xai_only
ENSG00000211973.2,von_willebrand_disease,0.0036497273635633792,0.0,0.0021898364181380274,xai_only
ENSG00000198478.7,von_willebrand_disease,0.003278027617520028,0.0,0.0019668165705120167,xai_only
ENSG00000254052.1,von_willebrand_disease,0.003175280775891504,0.0,0.0019051684655349023,xai_only
ENSG00000081041.8,von_willebrand_disease,0.0026595240893481443,0.0,0.0015957144536088866,xai_only
ENSG00000259600.2,von_willebrand_disease,0.0025705373740778845,0.0,0.0015423224244467306,xai_only
ENSG00000254281.1,von_willebrand_disease,0.0025172242815926157,0.0,0.0015103345689555694,xai_only
ENSG00000156265.15,von_willebrand_disease,0.002400114420602021,0.0,0.0014400686523612127,xai_only
ENSG00000210112.1,von_willebrand_disease,0.00235269322874415,0.0,0.0014116159372464898,xai_only
ENSG00000121797.9,von_willebrand_disease,0.00226805993066938,0.0,0.001360835958401628,xai_only
ENSG00000104267.9,von_willebrand_disease,0.0021910392203294752,0.0,0.001314623532197685,xai_only
ENSG00000140379.7,von_willebrand_disease,0.002178895154933663,0.0,0.0013073370929601977,xai_only
ENSG00000170956.16,von_willebrand_disease,0.001914351689400321,0.0,0.0011486110136401926,xai_only
ERCC-00046,von_willebrand_disease,0.0018899748486169445,0.0,0.0011339849091701667,xai_only
ENSG00000283041.1,sickle_cell_disease,0.7262048718622035,0.0,0.4357229231173221,xai_only
ENSG00000123689.5,sickle_cell_disease,0.05518147184273276,0.0,0.033108883105639655,xai_only
ENSG00000122877.15,sickle_cell_disease,0.04683089524579773,0.0,0.028098537147478637,xai_only
ENSG00000229644.6,sickle_cell_disease,0.037153984144258155,0.0,0.022292390486554892,xai_only
ENSG00000180596.7,sickle_cell_disease,0.025864764362393843,0.0,0.015518858617436305,xai_only
ENSG00000202290.1,sickle_cell_disease,0.010672743326234071,0.0,0.006403645995740443,xai_only
ENSG00000232177.1,sickle_cell_disease,0.006837095366275083,0.0,0.00410225721976505,xai_only
ENSG00000065534.18,sickle_cell_disease,0.005092040570630535,0.0,0.003055224342378321,xai_only
ENSG00000225972.1,sickle_cell_disease,0.003938807840565338,0.0,0.0023632847043392026,xai_only
ENSG00000211973.2,sickle_cell_disease,0.0036497273635633792,0.0,0.0021898364181380274,xai_only
ENSG00000198478.7,sickle_cell_disease,0.003278027617520028,0.0,0.0019668165705120167,xai_only
ENSG00000254052.1,sickle_cell_disease,0.003175280775891504,0.0,0.0019051684655349023,xai_only
ENSG00000081041.8,sickle_cell_disease,0.0026595240893481443,0.0,0.0015957144536088866,xai_only
ENSG00000259600.2,sickle_cell_disease,0.0025705373740778845,0.0,0.0015423224244467306,xai_only
ENSG00000254281.1,sickle_cell_disease,0.0025172242815926157,0.0,0.0015103345689555694,xai_only
ENSG00000156265.15,sickle_cell_disease,0.002400114420602021,0.0,0.0014400686523612127,xai_only
ENSG00000210112.1,sickle_cell_disease,0.00235269322874415,0.0,0.0014116159372464898,xai_only
