ensembl_gene_id,external_gene_name,gene_biotype,chromosome_name,description
ENSG00000078808,SDF4,protein_coding,1,stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]
ENSG00000127054,INTS11,protein_coding,1,integrator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:26052]
ENSG00000131584,ACAP3,protein_coding,1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]"
ENSG00000131591,C1orf159,protein_coding,1,chromosome 1 open reading frame 159 [Source:HGNC Symbol;Acc:HGNC:26062]
ENSG00000160087,UBE2J2,protein_coding,1,ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]
ENSG00000162571,TTLL10,protein_coding,1,tubulin tyrosine ligase like 10 [Source:HGNC Symbol;Acc:HGNC:26693]
ENSG00000162572,SCNN1D,protein_coding,1,sodium channel epithelial 1 subunit delta [Source:HGNC Symbol;Acc:HGNC:10601]
ENSG00000169972,PUSL1,protein_coding,1,pseudouridine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26914]
ENSG00000176022,B3GALT6,protein_coding,1,"beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]"
ENSG00000177757,FAM87B,lncRNA,1,family with sequence similarity 87 member B [Source:HGNC Symbol;Acc:HGNC:32236]
ENSG00000184163,C1QTNF12,protein_coding,1,C1q and TNF related 12 [Source:HGNC Symbol;Acc:HGNC:32308]
ENSG00000186092,OR4F5,protein_coding,1,olfactory receptor family 4 subfamily F member 5 [Source:HGNC Symbol;Acc:HGNC:14825]
ENSG00000186827,TNFRSF4,protein_coding,1,TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]
ENSG00000186891,TNFRSF18,protein_coding,1,TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]
ENSG00000187583,PLEKHN1,protein_coding,1,pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284]
ENSG00000187608,ISG15,protein_coding,1,ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]
ENSG00000187634,SAMD11,protein_coding,1,sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]
ENSG00000187642,PERM1,protein_coding,1,"PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208]"
ENSG00000187961,KLHL17,protein_coding,1,kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023]
ENSG00000188157,AGRN,protein_coding,1,agrin [Source:HGNC Symbol;Acc:HGNC:329]
ENSG00000188290,HES4,protein_coding,1,hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]
ENSG00000188976,NOC2L,protein_coding,1,NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517]
ENSG00000198744,MTCO3P12,unprocessed_pseudogene,1,MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]
ENSG00000198976,MIR429,miRNA,1,microRNA 429 [Source:HGNC Symbol;Acc:HGNC:13784]
ENSG00000205231,TTLL10-AS1,lncRNA,1,TTLL10 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41159]
ENSG00000207607,MIR200A,miRNA,1,microRNA 200a [Source:HGNC Symbol;Acc:HGNC:31578]
ENSG00000207730,MIR200B,miRNA,1,microRNA 200b [Source:HGNC Symbol;Acc:HGNC:31579]
ENSG00000217801,PTPN11BP,transcribed_unprocessed_pseudogene,1,"protein tyrosine phosphatase non-receptor type 11B, pseudogene [Source:HGNC Symbol;Acc:HGNC:58112]"
ENSG00000222623,RNU6-1100P,snRNA,1,"RNA, U6 small nuclear 1100, pseudogene [Source:HGNC Symbol;Acc:HGNC:48063]"
ENSG00000223181,RNU6-1199P,snRNA,1,"RNA, U6 small nuclear 1199, pseudogene [Source:HGNC Symbol;Acc:HGNC:48162]"
ENSG00000223764,LINC02593,lncRNA,1,long intergenic non-protein coding RNA 2593 [Source:HGNC Symbol;Acc:HGNC:53933]
ENSG00000223823,LINC01342,lncRNA,1,long intergenic non-protein coding RNA 1342 [Source:HGNC Symbol;Acc:HGNC:50551]
ENSG00000223972,DDX11L1,transcribed_unprocessed_pseudogene,1,DEAD/H-box helicase 11 like 1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37102]
ENSG00000224969,,lncRNA,1,novel transcript
ENSG00000225630,MTND2P28,unprocessed_pseudogene,1,MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:42129]
ENSG00000225880,LINC00115,lncRNA,1,long intergenic non-protein coding RNA 115 [Source:HGNC Symbol;Acc:HGNC:26211]
ENSG00000225972,MTND1P23,unprocessed_pseudogene,1,MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42092]
ENSG00000227232,WASH7P,transcribed_unprocessed_pseudogene,1,"WASP family homolog 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:38034]"
ENSG00000228327,,transcribed_unprocessed_pseudogene,1,general transcription factor IIi (GTF2I) pseudogene
ENSG00000228463,,transcribed_processed_pseudogene,1,ribosomal protein L23a (RPL23A) pseudogene
ENSG00000228794,LINC01128,lncRNA,1,long intergenic non-protein coding RNA 1128 [Source:HGNC Symbol;Acc:HGNC:49377]
ENSG00000229344,MTCO2P12,unprocessed_pseudogene,1,MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028]
ENSG00000229376,CICP3,processed_pseudogene,1,capicua transcriptional repressor pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37742]
ENSG00000229905,,lncRNA,1,novel transcript
ENSG00000230021,,transcribed_processed_pseudogene,1,septin 14 (SEPT14) pseudogene
ENSG00000230092,,transcribed_unprocessed_pseudogene,1,F-box only protein 25 (FBXO25) pseudogene
ENSG00000230368,FAM41C,lncRNA,1,family with sequence similarity 41 member C [Source:HGNC Symbol;Acc:HGNC:27635]
ENSG00000230415,LINC01786,lncRNA,1,long intergenic non-protein coding RNA 1786 [Source:HGNC Symbol;Acc:HGNC:52575]
