ensembl_gene_id,external_gene_name,gene_biotype,chromosome_name,start_position,end_position,strand,description
ENSG00000005243,COPZ2,protein_coding,17,48026142,48038030,-1,COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]
ENSG00000007541,PIGQ,protein_coding,16,566995,584120,1,phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]
ENSG00000013503,POLR3B,protein_coding,12,106357693,106510201,1,RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]
ENSG00000090013,BLVRB,protein_coding,19,40447765,40465826,-1,biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]
ENSG00000102837,OLFM4,protein_coding,13,53028813,53052057,1,olfactomedin 4 [Source:HGNC Symbol;Acc:HGNC:17190]
ENSG00000104332,SFRP1,protein_coding,8,41261956,41309511,-1,secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]
ENSG00000105063,PPP6R1,protein_coding,19,55229776,55259070,-1,protein phosphatase 6 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:29195]
ENSG00000107874,CUEDC2,protein_coding,10,102423242,102432718,-1,CUE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28352]
ENSG00000110756,HPS5,protein_coding,11,18278668,18322523,-1,HPS5 biogenesis of lysosomal organelles complex 2 subunit 2 [Source:HGNC Symbol;Acc:HGNC:17022]
ENSG00000116406,EDEM3,protein_coding,1,184690237,184754907,-1,ER degradation enhancing alpha-mannosidase like protein 3 [Source:HGNC Symbol;Acc:HGNC:16787]
ENSG00000125551,PLGLB2,protein_coding,2,87748085,87759723,1,plasminogen like B2 [Source:HGNC Symbol;Acc:HGNC:9073]
ENSG00000135931,ARMC9,protein_coding,2,231198546,231376848,1,armadillo repeat containing 9 [Source:HGNC Symbol;Acc:HGNC:20730]
ENSG00000147576,ADHFE1,protein_coding,8,66432467,66468907,1,alcohol dehydrogenase iron containing 1 [Source:HGNC Symbol;Acc:HGNC:16354]
ENSG00000151490,PTPRO,protein_coding,12,15322257,15602175,1,protein tyrosine phosphatase receptor type O [Source:HGNC Symbol;Acc:HGNC:9678]
ENSG00000158887,MPZ,protein_coding,1,161304735,161309968,-1,myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]
